x,y,z,sx,sy,sz
30.66,11.90,-105.17,920.3820,1093.6982,3864.3020
32.44,13.08,-105.18,1295.9446,1397.7862,3868.7436
36.98,18.88,-107.50,2041.1096,2483.9959,4149.2148
29.73,15.00,-102.21,738.6782,1813.1968,3518.6312
112.34,19.56,-209.78,9806.0884,2723.9047,14484.4977
130.48,13.77,-236.93,11532.7692,1745.3182,17131.0199
53.87,13.70,-145.48,3970.6976,1659.2923,8138.9902
150.82,24.91,-258.48,13512.7352,3524.6467,19197.8401
152.62,22.05,-259.86,13677.2396,3129.5441,19338.0918
99.45,49.36,-180.44,8659.1557,6286.8698,11582.0456
65.23,10.24,-153.25,5137.4810,590.9792,8927.7564
102.37,10.24,-200.98,8810.7010,700.0508,13638.7908
50.30,12.20,-133.27,3578.0122,1247.7212,6900.4382
106.73,19.14,-204.67,9262.7009,2660.7661,13985.2254
83.78,10.73,-177.12,6994.9054,863.9244,11296.5796
188.16,37.75,-304.20,17104.0142,5140.3205,23583.9979
117.84,21.10,-218.17,10340.6715,2963.9752,15296.9592
100.48,17.31,-196.29,8650.8486,2357.1350,13170.6081
183.70,34.99,-297.80,16672.8999,4809.7560,22973.6386
86.77,13.97,-178.94,7301.5223,1722.5573,11473.3684
58.80,14.22,-142.73,4492.3103,1727.1813,7866.6265
57.69,14.17,-142.44,4376.5534,1720.8498,7836.4743
101.81,16.63,-198.72,8777.9682,2246.5314,13408.0677
79.13,10.20,-167.06,6534.1675,560.5134,10306.0166
67.19,29.57,-147.45,5417.8534,4002.4463,8336.3840
115.60,13.23,-217.91,10100.4731,1612.5235,15284.1308
34.32,10.63,-105.98,1580.8866,570.0270,3959.2251
93.49,53.72,-167.85,8097.8523,6730.0762,10344.5710
159.01,19.85,-274.28,14278.4598,2834.3824,20731.9052
67.72,40.79,-142.74,5517.5537,5302.9617,7859.4159
93.47,45.35,-175.08,8065.9283,5847.7975,11060.4580
34.67,10.23,-103.40,1629.5970,140.6806,3656.7474
59.59,33.77,-134.25,4664.4788,4487.3776,7002.5725
47.67,26.81,-121.25,3368.3243,3619.0490,5655.0529
74.18,41.04,-149.84,6162.2340,5338.1430,8570.8237
40.03,20.93,-111.39,2448.7361,2801.7296,4587.7330
30.43,13.43,-104.31,890.9106,1488.3703,3766.2633
36.05,11.34,-105.50,1846.2393,859.1832,3906.4867
130.50,30.96,-233.08,11585.9537,4274.3207,16727.1707
60.27,35.98,-134.38,4743.5625,4746.3692,7015.8396
62.70,39.24,-140.32,5005.3872,5133.7852,7614.1174
66.88,11.40,-154.63,5310.4334,1053.5896,9064.6434
30.85,15.94,-100.58,1022.4551,1977.0674,3324.9414
81.19,10.13,-172.87,6737.8393,571.9528,10878.7033
134.06,52.86,-224.97,11993.7977,6714.3224,15908.7015
55.69,22.32,-135.07,4205.7257,3041.0390,7085.9317
52.18,21.93,-130.76,3832.0038,2980.8709,6643.4447
33.71,18.89,-105.26,1571.8068,2489.2956,3889.6302
37.64,10.79,-103.62,2060.4791,572.0503,3686.6178
54.66,10.86,-139.07,4040.6297,834.4150,7494.4477
32.59,16.72,-105.26,1366.1960,2133.0771,3884.4879
38.32,20.37,-110.34,2229.7291,2720.8671,4469.8942
34.89,12.53,-104.76,1686.8606,1237.3797,3821.2116
36.24,12.78,-105.43,1885.0164,1298.8756,3900.9441
36.13,11.45,-106.74,1859.0043,913.7459,4049.3184
143.33,64.94,-229.09,12916.1081,7976.1074,16289.6487
44.32,13.90,-108.44,2912.8748,1538.8051,4254.6186
32.68,13.62,-106.21,1344.3381,1529.3045,3989.4217
34.11,10.21,-104.31,1541.6485,184.9270,3763.4045
35.88,10.34,-102.27,1810.3786,223.0573,3522.4279
39.13,21.22,-108.46,2338.0185,2835.0599,4262.0772
104.24,15.55,-201.15,9009.9321,2053.5911,13647.4247
47.40,22.57,-122.60,3315.5778,3056.6750,5795.0946
68.50,25.81,-149.38,5534.5795,3526.7124,8531.9722
38.30,17.39,-110.84,2203.0153,2250.4262,4521.3172
31.79,11.32,-106.75,1152.9794,904.8203,4046.4376
173.45,71.19,-267.04,15800.1045,8664.4169,19941.2702
94.22,9.80,-191.28,8015.7497,431.6004,12689.4212
128.91,11.53,-233.23,11376.2079,1187.4205,16777.2488
73.45,10.47,-162.21,5968.5113,711.4395,9821.9898
