_0.0_153x1080 (RGB)
PerspectiveCamera5
-0.135782, -0.0169872, 0.234512, 0.51426, -0.13348, -0.0216901, 1, -0.0940869
0.268165, 0.294937, 0.086103, 0.0236679, -0.0391592, 0.0434157, -0.0940869, 1
_0.0_283x995 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0125264, -0.040415, -0.463355, 0.445127, -0.421497, -0.0712417, -0.00601559
-0.0125264, 1, -0.141284, 0.0339126, -0.0990118, 0.129124, 0.120929, -0.340631
-0.040415, -0.141284, 1, -0.159533, 0.107291, -0.090925, -0.876345, 0.478857
-0.463355, 0.0339126, -0.159533, 1, -0.979654, 0.955035, 0.170638, -0.293164
0.445127, -0.0990118, 0.107291, -0.979654, 1, -0.994083, -0.15718, 0.188045
-0.421497, 0.129124, -0.090925, 0.955035, -0.994083, 1, 0.148741, -0.161832
-0.0712417, 0.120929, -0.876345, 0.170638, -0.15718, 0.148741, 1, -0.280516
-0.00601559, -0.340631, 0.478857, -0.293164, 0.188045, -0.161832, -0.280516, 1
_0.0_501x1080 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.0568554, -0.0898342, -0.195109, 0.119431, -0.0393809, -0.152276, 0.286486
-0.0568554, 1, 0.146229, -0.0892722, 0.0856872, -0.0871552, -0.0622674, 0.16162
-0.0898342, 0.146229, 1, 0.194671, -0.0903695, -0.0464582, -0.0657566, 0.125895
-0.195109, -0.0892722, 0.194671, 1, -0.916357, 0.813134, 0.456976, -0.0351918
0.119431, 0.0856872, -0.0903695, -0.916357, 1, -0.970617, -0.205562, -0.00616081
-0.0393809, -0.0871552, -0.0464582, 0.813134, -0.970617, 1, 0.13198, 0.0120109
-0.152276, -0.0622674, -0.0657566, 0.456976, -0.205562, 0.13198, 1, -0.196696
0.286486, 0.16162, 0.125895, -0.0351918, -0.00616081, 0.0120109, -0.196696, 1
_0.0_513x1080 (RGB)
PerspectiveCamera5
